plate_name,device,consumable_name,is_sample,well,channel,temperature,sequence,variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable16,variable17,variable18,variable19,variable20,variable21,variable22,variable23,variable24,variable25,variable26,variable27,variable28,variable29,variable30,variable31,variable32,variable33,variable34,variable35,variable36,variable37,variable38,variable39,variable40
plate1,device1,consumable1,Sample,A01,channel_1,Low,"[6004.03532629 5969.00735142 5943.7098278  5931.63602259 5919.77746832
 5902.41944855 5889.90725369 5887.45881499 5883.70834851 5871.42398282
 5870.94366861 5863.9111029  5867.03602087 5863.18233238 5861.17090112
 5860.36908262 5850.68013236 5858.08715422 5854.59832541 5859.96304537
 5872.61283127 5900.62887147 5930.39522773 5991.23269329 6082.91960062
 6189.95407865 6336.88232452 6508.50373493 6678.42795256 6834.68132024
 6952.46917705 7041.25967291 7089.66556046 7117.01521577 7137.27057121
 7148.2936413  7156.69230889 7164.52619055 7171.9458584  7176.98716922
 7179.394429   7190.88613916 7194.13722728 7198.39905775 7208.71365514]",0,0,1,140,0,0,1391.168647,0,0,0.155713876,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",[],[-7.58876299e-04 -9.19821705e+02],0.999873506,20,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",-8.473247609,0,[-8.47456333e+00  1.35908774e+03  2.79879802e+01  2.22943003e-01],[0. 0. 0. 0.],0.999862848,1367.340612,175.5062276,23.75859897,0,0,23.75859897,0,0,0,0,0,0,23.75859897,-8.474563334,1359.087742,27.98798025,0.222943003,-0.000758876,-919.8217046
plate2,device2,consumable2,Sample,A01,channel_2,High,"[5747.17698632 5733.17105896 5718.3134234  5703.03002463 5694.49596553
 5688.11762575 5683.26313378 5674.29167334 5663.35077734 5667.93524507
 5666.87164146 5656.95184684 5658.04775939 5661.50668792 5648.91918119
 5646.75099325 5646.79376278 5644.87497838 5645.95855792 5642.32397977
 5637.87578825 5638.55138924 5635.00885169 5637.28133318 5633.52023279
 5635.16711972 5628.01821701 5629.02609402 5626.46580774 5625.56704668
 5620.23423925 5623.73673379 5625.52811192 5621.85022806 5618.84060743
 5616.73563526 5621.56813078 5621.66319816 5620.64140235 5621.69356428
 5615.3889808  5617.76486426 5623.03921616 5625.18360304 5623.47558439]",0,0,1,200,0,0,8.08660359,1,2,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",[],[0. 0.],0,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0,0,[0. 0. 0. 0.],[0. 0. 0. 0.],0,8.08660359,0,-1,1,2,-1,0,0,0,0,1,2,-1,0,0,0,0,0,0
plate3,device3,consumable3,Sample,A01,channel_3,Low,"[2920.5465141  2921.14939063 2906.14097522 2903.19875678 2901.87912621
 2895.2973678  2890.60487428 2890.1349447  2889.57106738 2886.73858387
 2882.2366473  2882.6227207  2880.61089294 2879.87730645 2880.72901636
 2877.55746143 2878.08297828 2875.86566132 2875.40350325 2872.95101859
 2871.57996178 2870.32298618 2870.38614537 2868.99586435 2873.99122791
 2874.42731791 2866.81210989 2865.43217827 2871.04345858 2874.51173005
 2881.60631709 2895.2211398  2913.64023524 2947.95420904 3001.95578707
 3060.085901   3141.32725353 3224.0126706  3314.42087616 3404.35429651
 3487.10627086 3554.90134781 3616.61171479 3671.38344152 3720.30331773]",0,0,1,150,0,0,854.8711395,0,0,0.124359364,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",[],[1.65074384e-02 2.86121802e+03],0.999679775,31,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",-5.137190991,0,[-5.13728721e+00  9.10880811e+02  3.90629635e+01  1.83344453e-01],[0. 0. 0. 0.],0.999426247,846.9414387,96.6608958,35.20057537,0,0,35.20057537,0,0,0,0,0,0,35.20057537,-5.137287213,910.8808111,39.0629635,0.183344453,0.016507438,2861.218023
plate4,device4,consumable4,Sample,A01,channel_4,High,"[2921.20018866 2918.35143777 2914.51871461 2905.86309528 2905.6888997
 2901.50007479 2899.6265204  2900.68307725 2898.39725796 2896.52960349
 2895.0638253  2889.44654999 2889.94177513 2888.93830152 2886.99597826
 2888.75921975 2883.8201882  2887.97262261 2884.27941428 2883.58284838
 2884.38760731 2882.68985345 2883.46919675 2880.54520806 2880.31750138
 2878.29964534 2870.9020973  2876.19676179 2870.13603676 2875.58255212
 2870.52877761 2866.59553017 2868.22674057 2870.7321566  2865.96560442
 2862.71750675 2863.2647174  2866.48127452 2866.15386522 2865.21850084
 2866.20857281 2868.01964095 2868.54686704 2866.65574874 2869.83277947]",0,0,0,0,0,0,7.115272713,0,0,2.352259996,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",[],[1.01943194e-02 2.87530106e+03],0.993675111,23,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",-14.63128998,0,[-14.63128998  -6.65095011  39.56306723   0.23550536],[0. 0. 0. 0.],0.942735156,7.582780766,1.066834134,0.999999974,0,0,0.999999974,0,0,0,0,0,0,0.999999974,-14.63128998,-6.650950111,39.56306723,0.235505359,0.010194319,2875.301064
plate5,device5,consumable5,Sample,A01,channel_5,Low,"[5680.86159188 5635.3953137  5623.07148477 5601.67309851 5587.20004558
 5578.27337679 5569.19500303 5561.34237169 5551.87881494 5546.4115503
 5542.48683621 5530.59570321 5528.99454041 5526.0469593  5518.96095395
 5514.77037966 5512.17813723 5509.34407879 5504.57351075 5498.22655081
 5498.21173027 5492.114621   5489.59877224 5485.22228476 5482.18509413
 5472.8327505  5471.38687475 5464.412726   5462.32636574 5455.48820047
 5450.28458261 5447.17552894 5448.34297617 5447.54743281 5445.76357699
 5441.53053995 5442.03459712 5437.10556481 5442.79530369 5439.11280978
 5441.56788726 5443.76837377 5448.88043734 5449.16453285 5449.53339595]",0,0,1,150,1,1,12.42783115,1,2,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",[],[0. 0.],0,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0,0,[0. 0. 0. 0.],[0. 0. 0. 0.],0,12.42783115,0,-1,1,2,-1,0,0,0,0,1,1,-1,0,0,0,0,0,0
plate6,device6,consumable6,Sample,A01,channel_6,High,"[5835.64416556 5820.37692121 5802.85696437 5790.39305726 5778.33523167
 5770.28575636 5762.88017649 5757.0787047  5745.28801907 5744.11880745
 5735.86192694 5733.96310702 5727.06385271 5724.12195578 5718.84749518
 5714.51999211 5713.96931511 5706.14250756 5708.77899932 5707.87493863
 5701.81158183 5694.92027415 5688.48447419 5691.03579506 5682.15198239
 5677.98298694 5676.15998386 5665.55971743 5665.99332494 5659.30767053
 5657.19763339 5652.20635147 5649.72470512 5642.33571323 5645.1736303
 5635.90774691 5633.08084025 5633.26816542 5628.40114321 5633.75964909
 5624.39916375 5626.2754726  5628.48030611 5629.60019451 5626.63975611]",0,0,1,290,1,1,2.240592361,1,2,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",[],[0. 0.],0,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0,0,[0. 0. 0. 0.],[0. 0. 0. 0.],0,2.240592361,0,-1,1,2,-1,0,0,0,0,1,1,-1,0,0,0,0,0,0
plate7,device7,consumable7,Sample,A01,channel_7,Low,"[4199.85331333 4186.73527968 4176.8226958  4169.58798091 4164.16439952
 4159.92938734 4152.10861597 4149.71040225 4144.81293531 4147.26099953
 4140.74001427 4139.19037395 4133.84950328 4135.01160068 4130.83703328
 4126.45787655 4123.54259244 4118.48937756 4115.56012478 4115.44986089
 4111.23963201 4104.31325969 4105.5895117  4104.79197456 4100.07391498
 4095.78996723 4087.53423118 4083.23736496 4073.60945893 4077.01021542
 4074.85245693 4070.60652664 4065.82043641 4064.39561378 4066.52474441
 4063.81015491 4057.30903585 4056.48281969 4053.86719031 4048.37142766
 4050.64729785 4050.91313267 4048.20372734 4049.0343801  4048.04872017]",0,0,1,235,1,1,0,1,2,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",[],[0. 0.],0,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0,0,[0. 0. 0. 0.],[0. 0. 0. 0.],0,0,0,-1,1,2,-1,0,0,0,0,1,1,-1,0,0,0,0,0,0
plate8,device8,consumable8,Sample,A01,channel_8,High,"[4085.92000199 4076.29679439 4077.88171277 4066.34504488 4064.42070631
 4063.38807858 4060.04859129 4053.47385515 4052.9759751  4050.6262753
 4049.12070878 4044.87480091 4040.96965764 4035.82984781 4038.68694327
 4035.25514585 4028.16436339 4028.14507638 4029.3941181  4025.85890469
 4020.43819765 4019.42179298 4019.2235998  4016.76633819 4012.63308243
 4007.26883836 4000.94737187 3999.37269507 3996.12987538 3993.58961128
 3987.64978096 3988.66049297 3985.11720095 3983.27694885 3980.33927385
 3976.58365542 3973.55704908 3973.41385022 3971.25401692 3969.52741937
 3969.26446556 3969.03059606 3968.13486789 3966.86977808 3967.9667127 ]",0,0,1,100,1,1,1.096934625,1,2,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",[],[0. 0.],0,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0,0,[0. 0. 0. 0.],[0. 0. 0. 0.],0,1.096934625,0,-1,1,2,-1,0,0,0,0,1,1,-1,0,0,0,0,0,0
plate9,device9,consumable9,Sample,A02,channel_9,Low,"[6002.60828742 5986.26116938 5974.05828898 5971.76735874 5964.45357812
 5959.84760572 5947.15757054 5941.87519833 5940.49886868 5938.3856006
 5929.14311666 5928.65204011 5929.9450263  5931.4662448  5926.02655144
 5925.67335317 5921.73581278 5921.17344403 5916.73444977 5917.61988921
 5918.03724163 5914.41177313 5915.66165964 5922.52706821 5933.94739081
 5954.52457807 5989.19836182 6040.49175804 6125.17826426 6231.4409638
 6373.06563723 6537.23729622 6711.02659463 6863.718292   6998.87385266
 7092.1121182  7158.83612586 7200.54395951 7224.22732899 7242.56251069
 7247.93958251 7260.97257659 7269.75566815 7272.20391453 7283.11454412]",0,0,1,140,0,0,1425.674604,0,0,0.140579406,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",[],[-2.55350322e-03 -9.45509583e+02],0.999937983,24,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",-7.323295626,0,[-7.32349277e+00  1.40350993e+03  3.23007315e+01  2.18994887e-01],[0. 0. 0. 0.],0.999935824,1408.501474,176.8361354,27.92638319,0,0,27.92638319,0,0,0,0,0,0,27.92638319,-7.323492766,1403.509931,32.30073149,0.218994887,-0.002553503,-945.5095833
plate10,device10,consumable10,Sample,A02,channel_10,High,"[5787.24982907 5775.94269894 5770.30441993 5766.66983641 5760.15835779
 5750.67615459 5748.16280868 5748.68386593 5744.63084047 5735.64958849
 5741.25316687 5734.24340101 5731.68041725 5735.29708729 5729.19991954
 5727.0537535  5728.61629732 5723.43950474 5721.1550707  5722.39717148
 5723.07310484 5717.19662787 5716.80067826 5718.92654907 5717.6131191
 5716.41624844 5709.43490738 5713.36119468 5707.94524415 5708.23719644
 5701.97484248 5697.86717289 5693.37745227 5692.02292496 5691.82689877
 5685.31413604 5685.7198892  5686.8851356  5678.65448145 5680.6786791
 5675.93518188 5681.30070621 5678.02946689 5679.13481801 5681.50052015]",0,0,1,200,0,0,5.565338263,1,2,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",[],[0. 0.],0,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0,0,[0. 0. 0. 0.],[0. 0. 0. 0.],0,5.565338263,0,-1,1,2,-1,0,0,0,0,1,2,-1,0,0,0,0,0,0
